EY_PV_Serial_Number,Parent Facility,Grouped / Standalone,Site Type,"Site Name 
(English)",City,latitude,longitude,Site Status,Year of Construction
588,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.26,Al Henakiyah,24.919167,40.356083,Out of Service,2012
589,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.27,Al Henakiyah,24.935639,40.373333,Out of Service,2012
590,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.28,Al Henakiyah,24.919056,40.400278,Out of Service,2012
591,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.29,Al Henakiyah,24.917056,40.405833,Out of Service,2012
592,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.30,Al Henakiyah,24.89525,40.4135,Out of Service,2012
593,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.31,Al Henakiyah,24.890083,40.408778,Out of Service,2012
594,Standalone,Standalone,WELL ABSTRACTION (WABS),MEDSIS NORTH FIELD NO.32,Al Henakiyah,24.915333,40.405028,Out of Service,2012
595,Standalone,Standalone,WELL ABSTRACTION (WABS),AL HARJA FIELD NO.1,Al Henakiyah,24.214028,39.942917,CWIP,2005
596,Standalone,Standalone,WELL ABSTRACTION (WABS),AL HARJA FIELD NO.12,Al Henakiyah,24.211806,39.941194,CWIP,2005
597,Standalone,Standalone,WELL ABSTRACTION (WABS),AL HARJA FIELD NO.13,Al Henakiyah,24.207278,39.941361,CWIP,2005
598,Standalone,Standalone,WELL ABSTRACTION (WABS),AL HARJA FIELD NO.15,Al Henakiyah,24.2025,39.946861,CWIP,2005
599,Standalone,Standalone,WELL ABSTRACTION (WABS),AL HARJA FIELD NO.16,Al Henakiyah,24.200611,39.951056,CWIP,2005
600,Standalone,Standalone,WELL ABSTRACTION (WABS),AL HARJA FIELD NO.18,Al Henakiyah,24.213,39.946028,CWIP,2005
601,Standalone,Standalone,WELL ABSTRACTION (WABS),AL HARJA FIELD NO.23,Al Henakiyah,24.203528,39.951028,CWIP,2005
602,Standalone,Standalone,WELL ABSTRACTION (WABS),AL HARJA FIELD NO.24,Al Henakiyah,24.204833,39.954806,CWIP,2005
603,Standalone,Standalone,WELL ABSTRACTION (WABS),AL HARJA FIELD NO.25,Al Henakiyah,24.207917,39.956167,CWIP,2005
604,Standalone,Standalone,WELL ABSTRACTION (WABS),AL HARJA FIELD NO.26,Al Henakiyah,24.210472,39.952778,CWIP,2005
605,Standalone,Standalone,WELL ABSTRACTION (WABS),AL HARJA FIELD NO.34,Al Henakiyah,24.215222,39.93975,CWIP,2005
606,Standalone,Standalone,WELL ABSTRACTION (WABS),AL HARJA FIELD NO.36,Al Henakiyah,24.205225,39.948331,CWIP,2005
873,Standalone,Standalone,WASTE WATER TREATMENT PLANT (WWTP),Al-Hanakiyah,Al Henakiyah,24.80028,40.5681948,Working,2011
887,26,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Raw Water Tank/Reservoir of Al-Hameej Plant,Al Henakiyah,25.031546,41.222852,Working,2011
888,21,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Alhaso Producing Water Reservoir,Al Henakiyah,24.599874,41.612507,Working,2010
